player_id,player_name,team,team_id,league_id,games_played,games_started,min,pts,fgm,fga,fg_pct,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,ftm,fta,ft_pct,def,off,reb,ast,stl,to,pf,pfa,blk,blka,rate
6efc790ebd74,אבינה ווסטברוק,הפועל באר שבע/דימונה,10197,11,1,1,36.0,21.0,9.0,22.0,40.9,6.0,11.0,54.5,3.0,11.0,27.3,0.0,1.0,0.0,4.0,0.0,4.0,5.0,1.0,9.0,1.0,3.0,2.0,0.0,12.0
72cd2e90146d,טיאה פרסלי,מכבי חיפה הפניקס,864,11,2,2,32.5,1.5,0.5,2.5,20.0,0.0,1.0,0.0,0.5,1.5,33.3,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,2.5,4.5,0.0,0.0,0.0,-6.0
7576c83d8119,נעמה הלוי,מכבי חיפה הפניקס,864,11,2,0,18.0,10.0,3.5,6.5,53.8,0.5,1.0,50.0,3.0,5.5,54.5,0.0,1.0,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,8.5
77ffcfc86948,יובאנה פאשיץ',בנות פתח תקווה,181,11,1,0,15.0,8.0,3.0,8.0,37.5,1.0,5.0,20.0,2.0,3.0,66.7,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0
8c57b1b533fa,מאי רווח,אליצור נוה דוד רמלה,2100,11,1,0,22.0,5.0,2.0,9.0,22.2,1.0,5.0,20.0,1.0,4.0,25.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,-2.0
8efd7e270315,נור כיוף,מכבי חיפה הפניקס,864,11,2,2,26.0,8.5,2.5,7.5,33.3,1.5,4.5,33.3,1.0,3.0,33.3,2.5,3.5,71.4,2.0,0.0,2.0,2.0,1.5,4.5,3.5,3.5,0.0,0.0,3.5
9005551f2d93,מאי בייקו-זמל,הפועל באר שבע/דימונה,10197,11,1,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,-3.0
904433d2e22e,גלי קונטס,הפועל באר שבע/דימונה,10197,11,1,0,16.0,2.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
907e0ad028d5,הדר חדד,מכבי אשדוד נשים,194,11,2,2,21.0,5.5,1.5,5.0,30.0,0.5,2.0,25.0,1.0,3.0,33.3,1.5,3.5,42.9,3.5,0.0,3.5,1.5,1.0,2.5,2.5,4.0,0.0,0.0,5.0
9643ff36df13,מיה הולינגשד,אליצור חולון,907,11,2,2,27.0,8.5,3.0,9.5,31.6,2.0,7.0,28.6,1.0,2.5,40.0,1.5,2.5,60.0,6.0,3.5,9.5,1.0,0.5,2.5,1.0,2.5,0.0,0.0,11.0
9e10923a6117,מיקה ביתן,אליצור נוה דוד רמלה,2100,11,1,0,16.0,2.0,1.0,4.0,25.0,1.0,1.0,100.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
9f692e7a0a76,סוואנה ווילקינסון,הפועל לב ירושלים פארק בית הכרם,7735,11,2,2,35.0,16.5,6.0,16.0,37.5,4.5,10.5,42.9,1.5,5.5,27.3,3.0,5.0,60.0,10.0,0.5,10.5,0.0,2.0,4.0,2.5,4.5,0.0,2.0,13.0
a032ec6bfb2a,ספרקל שיינה טיילור,בנות פתח תקווה,181,11,1,1,37.0,26.0,9.0,12.0,75.0,7.0,9.0,77.8,2.0,3.0,66.7,6.0,7.0,85.7,4.0,0.0,4.0,5.0,1.0,2.0,4.0,8.0,1.0,0.0,35.0
a282ed4c768e,קסניה קוזמינה,מכבי עירוני רמת גן,210,11,2,0,11.5,6.0,2.5,4.0,62.5,2.5,4.0,62.5,0.0,0.0,0.0,1.0,1.0,100.0,2.0,1.0,3.0,0.5,0.0,0.5,0.5,1.5,0.0,0.0,8.5
a6bf208cc972,דייזי – ראה יינג,הפועל ראשון לציון,520,11,2,2,40.0,16.5,6.0,14.0,42.9,5.5,13.0,42.3,0.5,1.0,50.0,4.0,8.0,50.0,7.5,5.0,12.5,1.0,2.5,3.5,3.0,7.0,1.0,1.0,21.0
