league_id,gameid,League,Code,Week Day,Date,Round,Time,Home Team,Home Team Code,Away Team,Away Team Code,Venue,Home Score,Away Score
1,1_741672,לאומית,741672,יום ראשון,07/12/2025,10,19:00,הפועל נהריה,26,א.ס. עירוני אשקלון,920,"היכל הספורט עין שרה, רח' הדבורנית 11, נהריה",,
1,1_741673,לאומית,741673,יום ראשון,07/12/2025,10,19:30,מ.כ עוטף דרום,12645,מ.ס צפת,4818,"מועצה אזורית אשכול, קיבוץ מגן",,
1,1_741682,לאומית,741682,יום שלישי,09/12/2025,11,19:00,הפועל מגדל העמק/יזרעאל,2267,מכבי מעלה אדומים,3745,"ביה""ס יערת העמק, מגדל העמק",,
1,1_741681,לאומית,741681,יום שלישי,09/12/2025,11,19:00,מכבי אשדוד,7261,הפועל אילת,1278,"מקיף ז', רובע סיטי, רח' העצמאות 62, אשדוד",,
1,1_741680,לאומית,741680,יום שלישי,09/12/2025,11,19:15,אליצור יבנה,168,"א.ס רמה""ש",585,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
1,1_741686,לאומית,741686,יום שלישי,09/12/2025,11,19:30,מכבי פתח תקווה,42,מכבי קרית גת,3043,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
1,1_741683,לאומית,741683,יום רביעי,10/12/2025,11,19:30,מ.ס צפת,4818,הפועל חיפה,4153,"אולם הפיס, רח' ז'בוטינסקי 1, צפת",,
1,1_741684,לאומית,741684,יום שישי,12/12/2025,11,12:45,א.ס. עירוני אשקלון,920,מ.כ עוטף דרום,12645,"שד' בן גוריון 37, אשקלון",,
1,1_741685,לאומית,741685,יום שישי,12/12/2025,11,13:00,מכבי חיפה,69,הפועל נהריה,26,"היכל הספורט רוממה, חיפה",,
1,1_741691,לאומית,741691,יום שלישי,16/12/2025,12,18:30,מכבי מעלה אדומים,3745,מ.ס צפת,4818,"רח' דרך הגיא 5, מעלה אדומים",,
1,1_741688,לאומית,741688,יום שלישי,16/12/2025,12,18:45,הפועל נהריה,26,מכבי פתח תקווה,42,"היכל הספורט עין שרה, רח' הדבורנית 11, נהריה",,
1,1_741692,לאומית,741692,יום שלישי,16/12/2025,12,18:45,הפועל אילת,1278,הפועל מגדל העמק/יזרעאל,2267,"אולם בגין, רח' הספורטאים 1, אילת",,
1,1_741693,לאומית,741693,יום שלישי,16/12/2025,12,19:00,אליצור יבנה,168,מכבי אשדוד,7261,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
1,1_741695,לאומית,741695,יום שלישי,16/12/2025,12,19:00,"א.ס רמה""ש",585,אליצור שומרון,4083,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
